Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","My credit report shows hard inquiries i have not authorized. Also Auto loans i have not made are shown. I have repeatedly reported inhave been a victim of identity theft. All fraudulent records are dated XX/XX/2020. I have sent letters, made phone calls to all the institutions shown on my credit report that are related to the identity theft issue reported. I submitted a written dispute to TransUnion, XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, and to the Federal Trade Commission. 

XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","On my most recent credit report from XXXX, I noticed that the XXXX, XXXX, and XXXX accounts from XXXX  were reported by both XXXX and XXXX XXXX XXXX. This looks like 6 delinquent on my report. The accounts were fraudulently opened anyway, but its even worse that its been reported double."
"Credit reporting, credit repair services, or other personal consumer reports",Attempted to remove fraudulent credit inquires from credit report. The inquires don't belong to me and were incorrectly placed on my credit report. Please remove inquires ASAP as these are not mine.
Debt collection,"I sent merican redit cceptance A certified letter via usps tracking # XXXX which arrived on XX/XX/2021 at XXXX. In the mail I sent was documents they sent to me violating my rights saying I owed a debt when by law I know I dont. As well as invoices for the violations. Below 15 usc 1692c. C2, 15 usc 1692c. C, 15 usc 1692c. b, 15 usc 1692b. ( 2 ) and as I write this today XX/XX/2021 American credit acceptance came and repoed the car which is a violation pursuant to : 15 usc 1692c. C."
Mortgage,"I pay all my bills by bill pay. They did an escrow analysis adding a charge of XXXX . In XX/XX/2020 they sent an up charge, Since they were sending unlimited advertisements to me I apparently missed their notice. In XXXX I called and was notified I Did not pay their up charge that I could pay it on the next Payment. I paid it then. They then notified after cashing the {$1100.00} payments, that my payment was 30 days late, of course this has affected my credit rating. NewRez loan number XXXX."
Mortgage,"After declining to pursue a refinance with New American Funding, a representative sent an email requesting details why I chose not to pursue the loan, and included approximately 50 other customers on the same email, seeking the same information from them. It was a wildly inappropriate and cavalier way to treat customer data, with no concern for consumer protection even after the mistake was highlighted by another customer. Some customers shared their rationale with the entire group before the mistake was brought to light."
"Credit reporting, credit repair services, or other personal consumer reports",I've contact this creditor several times concerning these accounts. I never opened the accounts or benefited from the use of the accounts in any way. The accounts were opened shortly after my identity was stolen which I've explained several times. I also haven't received anything with my signature validating that these accounts are mine.
"Credit reporting, credit repair services, or other personal consumer reports",on XX/XX/XXXX I submitted a dispute to Transunion requesting that inaccurate information being reported on my credit report be validated or removed. In received no validation. I then submitted a follow up dispute on XX/XX/XXXX. Once again I received no validation
"Credit reporting, credit repair services, or other personal consumer reports","hiding a collection under exceptional payment history to deceive me ... ... ... ... ... 

proof will be in the attachment XXXX XXXX XXXX {$3100.00} Balance updated XX/XX/2020 XXXX late payments unfair practices"
"Credit reporting, credit repair services, or other personal consumer reports",I STILL HAVE ITEMS REPORTING ON MY CREDIT REPORT THAT ARE NOT CORRECT AND IV'E BEEN TRYING TO GET A RESPONSE FROM THE CREDIT BUREAUS FOR SEVERAL MONTHS.
"Credit reporting, credit repair services, or other personal consumer reports",I have filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I have not received any investigation results.
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2020 I mailed a dispute letter to Transunion and it was recieved on XX/XX/2020 and I waited 45 days before I contacted them to see why hasn't my dispute letter, disputing negative accounts has not been processed. Transunion verbally informed me over the telephone that my dispute letter would not be processed, I asked why? and was told to I was being transfered to a manager and the line disconnected. It has since been 60 days and Transunion has not responded, I have attachted the dispute letter and certified receipt that I sent to Transunion."
